time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-23T23:08:40.340Z,-20.3749,-175.0925,100.17,6.4,mww,,20,5.034,1.47,us,us2000iwvb,2018-12-24T07:47:21.864Z,"84km N of Nuku`alofa, Tonga",earthquake,7.9,6,0.069,20,reviewed,us,us
2018-12-20T17:01:55.150Z,55.0999,164.6993,16.56,7.3,mww,,23,4.126,0.79,us,us2000ivfw,2018-12-21T19:38:25.047Z,"83km W of Nikol'skoye, Russia",earthquake,7.9,2.9,0.025,155,reviewed,us,us
